dep,total,numero,num_housenumber,num_municipality,num_street_locality,nonum_housenumber,nonum_municipality,nonum_street_locality
70,32304,63.6,95.2,2.2,2.0,58.2,19.9,21.9
71,78878,53.4,94.9,1.5,3.1,53.9,10.8,35.1
72,65897,59.0,96.1,1.1,2.4,18.8,3.9,76.9
73,99985,42.5,90.1,2.5,7.1,12.5,12.9,74.4
74,137727,73.8,96.0,1.1,2.7,57.8,9.3,32.9
75,828230,99.5,99.4,0.1,0.4,4.7,0.3,95.0
76,138018,79.2,94.9,1.5,3.3,25.0,7.3,67.7
77,161395,87.3,96.1,1.4,2.2,48.5,6.6,44.8
78,179404,92.5,97.0,0.8,1.8,36.8,5.6,57.5
79,51191,62.0,95.1,2.0,2.4,49.2,10.7,40.1
80,68118,80.8,95.3,1.7,2.5,37.9,7.3,54.8
81,61224,51.7,93.6,2.0,4.0,34.6,14.5,50.9
82,41724,55.3,94.5,1.7,3.5,46.8,11.1,42.1
83,207834,67.5,88.4,2.1,9.1,20.8,7.1,72.2
84,109254,65.9,90.4,2.2,7.0,29.0,5.9,65.1
85,91900,66.5,95.2,1.4,2.9,34.2,14.5,51.2
86,59639,68.2,96.0,1.6,2.1,53.4,7.7,38.5
87,51140,60.3,96.4,1.1,2.2,40.0,1.9,58.1
88,52700,85.8,94.9,1.6,3.0,57.3,4.0,38.7
89,49268,73.5,95.1,2.0,2.4,44.3,11.1,44.6
90,15836,86.2,96.1,1.1,2.1,43.7,9.7,46.6
91,142534,91.1,96.8,1.0,1.9,38.0,4.9,57.1
92,259384,98.6,98.3,0.4,1.0,11.6,0.6,87.8
93,198473,97.3,97.5,0.4,1.8,13.9,19.4,66.7
94,173587,97.4,97.8,0.5,1.4,21.3,7.2,71.5
95,138672,92.7,96.3,1.2,2.2,30.5,5.8,63.7
97,342569,57.1,75.1,5.3,15.5,16.1,6.2,68.4
98,1223,32.0,0.0,0.0,0.0,0.0,0.0,0.0
99,78387,42.8,0.0,0.0,0.0,0.0,0.0,0.0
