CP,LIBELLE,INSEE
"06903","SOPHIA ANTIPOLIS CEDEX","06004"
"06903","SOPHIA ANTIPOLIS CEDEX","06018"
"06903","SOPHIA ANTIPOLIS CEDEX","06152"
"06904","SOPHIA ANTIPOLIS CEDEX","06004"
"06904","SOPHIA ANTIPOLIS CEDEX","06152"
"06905","SOPHIA ANTIPOLIS CEDEX","06018"
"06905"," SOPHIA ANTIPOLIS CEDEX","06152"
"06905","SOPHIA ANTIPOLIS CEDEX","06152"
"06906","SOPHIA ANTIPOLIS CEDEX","06018"
"06906","SOPHIA ANTIPOLIS CEDEX","06152"
"06921","06 BIOT CEDEX","06018"
"06922","SOPHIA ANTIPOLIS CEDEX","06152"
"07000","PRIVAS","07186"
"07001","PRIVAS CEDEX","07186"
"07002","PRIVAS CEDEX","07186"
"07002","PRIVAS CEDEX","07340"
"07003","PRIVAS CEDEX","07186"
"07003","PRIVAS CEDEX","07340"
"07004","PRIVAS CEDEX","07186"
"07006","PRIVAS CEDEX","07186"
"07007","PRIVAS CEDEX","07186"
"07100","ROIFFIEUX","07197"
"07101","ANNONAY CEDEX","07010"
"07102","ANNONAY CEDEX","07010"
"07102","ANNONAY CEDEX","07078"
"07103","ANNONAY CEDEX","07010"
"07104","ANNONAY CEDEX","07010"
"07105","ANNONAY CEDEX","07010"
"07105","ANNONAY CEDEX","07078"
"07106","ANNONAY CEDEX","07010"
"07107","ANNONAY CEDEX","07234"
"07107","ANNONAY CEDEX","07313"
"07131","ST PERAY CEDEX","07281"
"07134","ST PERAY CEDEX","07070"
"07134","ST PERAY CEDEX","07281"
"07201","AUBENAS CEDEX","07019"
"07201","AUBENAS CEDEX","07229"
"07201","AUBENAS CEDEX","26108"
"07202","AUBENAS CEDEX","07019"
"07203","AUBENAS CEDEX","07019"
"07203","AUBENAS CEDEX","07254"
"07204","AUBENAS CEDEX","07019"
"07205","AUBENAS CEDEX","07019"
"07300","TOURNON SUR RHONE","07324"
"07301","TOURNON SUR RHONE CEDEX","07324"
"07302","TOURNON SUR RHONE CEDEX","07152"
"07302","TOURNON SUR RHONE CEDEX","07324"
"07303","TOURNON SUR RHONE CEDEX","07324"
"07304","TOURNON SUR RHONE CEDEX","07324"
"07305","TOURNON SUR RHONE CEDEX","07324"
"07401","LE TEIL CEDEX","07319"
"07401","LE TEIL CEDEX","07332"
"07402","LE TEIL CEDEX","07319"
"07404","LE TEIL CEDEX","07319"
"07502","GUILHERAND GRANGES CEDEX","07102"
"07503","GUILHERAND GRANGES CEDEX","07102"
"07503","GUILHERAND GRANGES CEDEX","07281"
"08000","CHARLEVILLE MEZIERES","08105"
"08000","PRIX LES MEZIERES","08346"
"08000","WARCQ","08497"
"08001","CHARLEVILLE MEZIERES CEDEX","08105"
"08001","CHARLEVILLE MEZIERES CEDEX","08162"
"08001","CHARLEVILLE MEZIERES CEDEX","08346"
"08002","CHARLEVILLE MEZIERES CEDEX","08105"
"08002","CHARLEVILLE MEZIERES CEDEX","08480"
"08003","CHARLEVILLE MEZIERES CEDEX","08105"
"08003","CHARLEVILLE MEZIERES CEDEX","08346"
"08003","CHARLEVILLE MEZIERES CEDEX","08497"
"08004","CHARLEVILLE MEZIERES CEDEX","08105"
"08004","CHARLEVILLE MEZIERES CEDEX","08162"
"08005","CHARLEVILLE MEZIERES CEDEX","08105"
"08005","CHARLEVILLE MEZIERES CEDEX","08180"
"08005","CHARLEVILLE MEZIERES CEDEX","08346"
"08008","CHARLEVILLE MEZIERES CEDEX","08105"
"08009","CHARLEVILLE MEZIERES CEDEX","08105"
"08010","CHARLEVILLE MEZIERES CEDEX","08180"
"08010","CHARLEVILLE MEZIERES CEDEX","08457"
"08010","CHARLEVILLE MEZIERES CEDEX","08480"
"08011","CHARLEVILLE MEZIERES CEDEX","08105"
"08012","CHARLEVILLE MEZIERES CEDEX","08105"
"08013","CHARLEVILLE MEZIERES CEDEX","08105"
"08013","CHARLEVILLE MEZIERES CEDEX","08457"
"08013","CHARLEVILLE MEZIERES CEDEX","08497"
"08098","CHARLEVILLE MEZIERES CEDEX","08105"
"08101","CHARLEVILLE MEZIERES CEDEX","08105"
"08102","CHARLEVILLE MEZIERES CEDEX","08105"
"08103","CHARLEVILLE MEZIERES CEDEX","08105"
"08104","CHARLEVILLE MEZIERES CEDEX","08105"
"08105","CHARLEVILLE MEZIERES CEDEX","08105"
"08106","CHARLEVILLE MEZIERES CEDEX","08105"
"08107","CHARLEVILLE MEZIERES CEDEX","08105"
"08108","CHARLEVILLE MEZIERES CEDEX","08105"
"08109","CHARLEVILLE MEZIERES CEDEX","08105"
"08140","BAZEILLES","08053"
"08201","SEDAN CEDEX","08409"
"08201","SEDAN CEDEX","08491"
"08202","SEDAN CEDEX","08194"
"08202","SEDAN CEDEX","08409"
"08203","SEDAN CEDEX","08194"
"08203","SEDAN CEDEX","08409"
"08204","SEDAN CEDEX","08194"
"08204","SEDAN CEDEX","08409"
